"Population","n_variants","mean_AF","min_AF","max_AF"
"AFR",713,0.046158064516129,0,0.997
"AMR",713,0.0380848527349229,0,0.9485
"EAS",713,0.0495412342215989,0,1
"EUR",713,0.0319291725105189,0,0.9073
"SAS",713,0.0406482468443198,0,0.9916
